district,schl1,enrollment,asian_pct,black_pct,hispanic_pct,white_pct,pct_frl,ed_lesshs,positive_env,mathscore_gain_std
1409,1096,406,0.002531646,0.002531646,0.151898727,0.815189898,0.71588368,22.39999962,0,-0.614090269
674,522,274,0,0.018867925,0.003144654,0.949685514,0.258358657,16.39999962,1,0.348319879
239,202,438,0.008810572,0.147577092,0.057268724,0.740088105,0.346855983,16,0,-0.860171955
399,426,152,0.006993007,0,0.237762243,0.720279694,0.491712704,12.30000019,1,-0.422326165
1014,870,210,0,0.46486485,0.032432433,0.427027017,0.849315055,20.5,0,-1.496161235
4744,4334,397,,,,,,7,0,0.87040119
2819,2287,122,0,0,0,0.988636374,0.324786335,13.69999981,0,-0.481557871
5629,2299,282,0.004149378,0,0.020746889,0.950207472,0.154135339,13,0,-0.772234015
239,154,601,0.059581321,0.149758458,0.128824472,0.578099847,0.532490984,16,1,0.064793318
3334,2754,520,0.03088803,0.015444015,0.021235522,0.895752907,0.181069966,16.29999924,1,1.007746732
2289,1728,504,0.011090573,0.024029575,0.040665433,0.881700575,0.140105084,30.79999924,0,0.095357948
4229,3454,542,0.005607476,0.029906543,0.033644859,0.889719605,0.35647279,19.70000076,0,0.769037369
5304,5180,631,0.005780347,0.096820809,0.028901733,0.835260093,0.305509187,21.29999924,0,1.756251655
5929,6342,298,0,0,0.005934718,0.967359066,0.398176298,20.39999962,0,0.852420594
5364,5382,318,0.026634382,0.547215521,0.169491529,0.210653752,0.462222219,16.39999962,1,1.411931419
5354,5351,458,0.034482758,0.489224136,0.090517238,0.273706883,0.318181828,7.900000095,1,1.952418958
754,622,610,,,,,,14.89999962,1,1.002798553
3949,3234,300,0,0,0,0.981060624,0.26523298,21.5,0,2.413795932
2399,1910,306,0,0.025236594,0.006309148,0.955835938,0.574123979,26.20000076,1,-2.214320332
